pair,r pearsonr,p pearsonr,r partial_pearsonr,p partial_pearsonr,N,age statistic,% female
"('fs_dens_c', 'vol-hippocampus')","dt between 2.5-7 years, age younger than 60",0.18331444164076438,0.05875846376036536,0.12843063547471775,0.1916602209586911,107,49.6 (8.7),0.64
"('fs_dens_c', 'vol-hippocampus')","dt between 2.5-7 years, age between 60-70",-0.014054481085210284,0.9115230120930458,-0.004070677833573817,0.9747407102455696,65,64.8 (2.8),0.62
"('fs_dens_c', 'vol-hippocampus')","dt between 2.5-7 years, age older than 70",0.18996028331666925,0.177387518959309,0.19855555685216453,0.16688088278227003,52,76.3 (4.7),0.42
"('fs_dens_c', 'vol-hippocampus')",zzz_blank,,,,,,,
"('perc_r', 'vol-ctx--isthmuscingulate')","dt all, age all",0.013105278814261545,0.7440729913872084,0.005792858464814869,0.8854470464901361,623,60.9 (12.5),0.55
"('perc_r', 'vol-ctx--isthmuscingulate')","dt all, age younger than 60",-0.023908332506360278,0.6877556190791198,-0.0233574192732186,0.6956147508747067,285,49.9 (7.9),0.61
"('perc_r', 'vol-ctx--isthmuscingulate')","dt all, age between 60-70",0.006315615765762547,0.9316361279724684,0.0004200255748551555,0.9954726326515555,187,65.1 (2.9),0.58
"('perc_r', 'vol-ctx--isthmuscingulate')","dt all, age older than 70",0.07161730768542668,0.38219562580718464,0.06500321856984216,0.4309210896927378,151,76.6 (4.6),0.39
"('perc_r', 'vol-ctx--isthmuscingulate')","dt within 1 year, age all",0.035458192125713446,0.5814939359551924,0.03148719004550898,0.6259674673264424,244,60.8 (12.8),0.57
"('perc_r', 'vol-ctx--isthmuscingulate')","dt within 1 year, age younger than 60",0.08908757269798473,0.35025419356822973,0.09124889746404256,0.34309195132001935,112,49.4 (7.4),0.62
"('perc_r', 'vol-ctx--isthmuscingulate')","dt within 1 year, age between 60-70",-0.039707132039693796,0.7405235354982462,-0.052514089265015655,0.6659220635554213,72,65.2 (2.9),0.57
"('perc_r', 'vol-ctx--isthmuscingulate')","dt within 1 year, age older than 70",0.0036129788607176944,0.9781427910926017,-0.0012703780702427022,0.9924486944504318,60,76.9 (4.8),0.45
"('perc_r', 'vol-ctx--isthmuscingulate')","dt between 1-2.5 years, age all",0.02380904764105738,0.7687101125698682,0.028211693471039665,0.7292175545409303,155,62.1 (11.6),0.47
"('perc_r', 'vol-ctx--isthmuscingulate')","dt between 1-2.5 years, age younger than 60",-0.13377907739442146,0.2842219181334864,-0.137781850440076,0.2776035938623923,66,51.2 (7.2),0.55
"('perc_r', 'vol-ctx--isthmuscingulate')","dt between 1-2.5 years, age between 60-70",0.08734698102986677,0.5463960981835377,0.13151289279110187,0.3729242990003865,50,65.1 (2.9),0.54
"('perc_r', 'vol-ctx--isthmuscingulate')","dt between 1-2.5 years, age older than 70",0.262549845226896,0.10636524012855644,0.32331262922934556,0.0509482293996463,39,76.5 (4.1),0.26
